"","document","topic","gamma"
"1","1",1,8.46931040615571e-05
"2","2",1,6.81976575081736e-05
"3","3",1,3.9623956024237e-05
"4","4",1,4.41677308913654e-05
"5","5",1,4.73781183677839e-05
"6","6",1,3.19216028588191e-05
"7","7",1,4.50123689793625e-05
"8","8",1,3.13546344379959e-05
"9","9",1,4.33542075038735e-05
"10","10",1,4.12038982053459e-05
"11","11",1,6.0851455143593e-05
"12","12",1,6.6905329908382e-05
"13","13",1,2.84683097138128e-05
"14","14",1,4.15269855189852e-05
"15","15",1,4.04563489876065e-05
"16","16",1,4.53011398975444e-05
"17","17",1,3.22128463593505e-05
"18","18",1,3.21639372769929e-05
"19","19",1,3.87186829230677e-05
"20","20",1,3.51528179169462e-05
"21","21",1,5.22254076369357e-05
"22","22",1,3.71241406391375e-05
"23","23",1,3.96239560256375e-05
"24","24",1,2.86802917816421e-05
"25","25",1,2.85450305561123e-05
"26","26",1,4.17726457316981e-05
"27","27",1,2.84683097121502e-05
"28","28",1,2.73474046476979e-05
"29","29",1,2.12877739711631e-05
"30","30",1,2.13413887013687e-05
"31","31",1,2.06245563759248e-05
"32","32",1,2.71720169216373e-05
"33","33",1,1.67181656828257e-05
"34","34",1,2.0010861976373e-05
"35","35",1,1.49697089441599e-05
"36","36",1,1.13823719082519e-05
"37","37",1,1.04194375399359e-05
"38","38",1,1.24310216170611e-05
"39","39",1,1.36352158196482e-05
"40","40",1,1.2795176412111e-05
"41","41",1,8.75689451533978e-06
"42","42",1,6.11790996465151e-06
"43","43",1,1.30313039295311e-05
"44","44",1,1.18902776131857e-05
"45","45",1,1.17811698756787e-05
"46","46",1,6.96470676502433e-06
"47","47",1,8.68865320294857e-06
"48","48",1,0.00752936348261619
"49","49",1,7.96803765292404e-06
"50","50",1,7.8601268341555e-06
"51","51",1,6.82117980032255e-06
"52","52",1,9.93796749389549e-06
"53","53",1,1.11752152234297e-05
"54","54",1,1.08295830194068e-05
"55","55",1,1.14904151832378e-05
"56","56",1,9.80004406422792e-06
"57","57",1,5.68145869204509e-06
"58","58",1,5.05148415336719e-06
"59","59",1,5.64587506679307e-06
"60","60",1,4.31260030864359e-06
"61","61",1,0.0368629755343483
"62","62",1,0.0339873663642506
"63","63",1,0.020060837577899
"64","64",1,9.21394943005627e-06
"65","65",1,0.0027842519195191
"66","66",1,8.60395908770883e-06
"67","67",1,7.70293156328994e-06
"68","68",1,0.0179596724857115
"69","69",1,6.66662266295104e-06
"70","70",1,5.56138986267099e-06
"71","71",1,7.39504308922761e-06
"72","72",1,6.52393336939051e-06
"73","73",1,0.0419634877765484
"74","74",1,1.07308393797183e-05
"75","75",1,0.0304476224266484
"76","76",1,0.0296971515747528
"77","77",1,1.00083953527933e-05
"78","78",1,1.2420089256536e-05
"79","79",1,7.50242156293568e-06
"80","80",1,8.9172416136356e-06
"81","81",1,0.11285480633992
"82","82",1,0.146280441548113
"83","83",1,0.0658197174432554
"84","84",1,0.143350666651328
"85","85",1,0.16510151334374
"86","86",1,0.0904481057099919
"87","87",1,0.0414170644695312
"88","88",1,0.114729247367085
"89","89",1,0.188528087775313
"90","90",1,0.165850596178114
"91","91",1,0.232714252834519
"92","92",1,0.290404508626666
"93","93",1,0.26018897906282
"94","94",1,0.258103550144325
"95","95",1,0.278576668102165
"96","96",1,0.373625852989112
"97","97",1,0.215748749918963
"98","98",1,0.319083149178571
"99","99",1,0.5674843440995
"100","100",1,0.295167057999161
"101","101",1,0.422137052984071
"102","102",1,0.580876165721601
"103","103",1,0.447130429703263
"104","104",1,0.733095178205312
"105","105",1,0.422019991969497
"106","106",1,0.345359146963054
"107","107",1,0.164659016168968
"108","108",1,0.31588589607002
"109","109",1,0.156913886614035
"110","110",1,0.215718618437684
"111","111",1,0.494034890447414
"112","112",1,0.303414282493375
"113","113",1,4.51962159203366e-06
"114","114",1,9.15027120294373e-06
"115","115",1,0.123834293670142
"116","116",1,0.0508547043584215
"117","117",1,0.0627392525768305
"118","118",1,3.75129520994983e-06
"119","119",1,0.153232159250885
"120","120",1,4.52444805396964e-06
"121","121",1,0.902985395404447
"122","122",1,0.953048873459122
"123","123",1,0.942073005946974
"124","124",1,0.880170723653644
"125","125",1,2.64593101558209e-05
"126","126",1,2.11601911275885e-05
"127","127",1,0.0651098401848487
"128","128",1,0.384562593870723
"129","129",1,2.46003647575248e-05
"130","130",1,1.72560876150243e-05
"131","131",1,0.224002062191255
"132","132",1,0.277330124553007
"133","133",1,0.558592813358292
"134","134",1,0.606945596221435
"135","135",1,0.764790467034533
"136","136",1,0.833229757632089
"137","137",1,0.799651446073128
"138","138",1,0.810994249263566
"139","139",1,0.887553497298056
"140","140",1,0.859049343841274
"141","141",1,0.853936943732872
"142","142",1,0.818807052925106
"143","143",1,0.755789295333213
"144","144",1,0.660855628051328
"145","145",1,0.117804964036544
"146","146",1,0.0410460754415537
"147","147",1,2.36395493094993e-05
"148","148",1,0.0225301847332422
"149","149",1,1.84509544206684e-05
"150","150",1,2.23902695241241e-05
"151","151",1,2.7241901360346e-05
"152","152",1,2.64098305060971e-05
"153","153",1,2.56115907194657e-05
"154","154",1,1.9648927091004e-05
"155","155",1,2.33015172126561e-05
"156","156",1,2.81467950708556e-05
"157","157",1,1.03938762345021e-05
"158","158",1,0.29160876549933
"159","159",1,0.13339885719694
"160","160",1,1.62376213098462e-05
"161","161",1,2.43319335764648e-05
"162","162",1,1.68377589176264e-05
"163","163",1,2.18026450418081e-05
"164","164",1,1.62189734822185e-05
"165","165",1,0.0302202244118291
"166","166",1,8.92287562634607e-06
"167","167",1,0.129608538581081
"168","168",1,0.0924111384791452
"169","169",1,0.045289427593564
"170","170",1,0.0920280138754138
"171","171",1,1.95311741572412e-05
"172","172",1,1.63820252463281e-05
"173","173",1,1.61386587247583e-05
"174","174",1,1.41924535664686e-05
"175","175",1,1.5506639757194e-05
"176","176",1,0.0128316482512464
"177","177",1,1.25600026335708e-05
"178","178",1,1.54500927013654e-05
"179","179",1,2.63441447973261e-05
"180","180",1,1.95042005534139e-05
"181","181",1,1.57663095674401e-05
"182","182",1,1.21703498817263e-05
"183","183",1,0.0390158804316648
"184","184",1,0.0685147777898264
"185","185",1,2.00867593711741e-05
"186","186",1,1.97865725478106e-05
"187","187",1,2.25331668190604e-05
"188","188",1,4.71109575399879e-06
"189","189",1,1.75782627364236e-05
"190","190",1,3.49824064307726e-06
"191","191",1,1.95944036420884e-05
"192","192",1,1.62127670547254e-05
"193","193",1,1.79430412812403e-05
"194","194",1,1.85478838486794e-05
"195","195",1,6.11702667320265e-06
"196","196",1,2.49627200926512e-05
"197","197",1,3.53324856409588e-06
"198","198",1,2.40966758557163e-05
"199","199",1,2.27696581879409e-06
"200","200",1,0.0120027510849067
"201","201",1,2.23764196679989e-06
"202","202",1,1.5884530841257e-05
"203","203",1,1.48490385496824e-05
"204","204",1,1.62065653757862e-05
"205","205",1,1.84108655099833e-05
"206","206",1,2.28122146889961e-05
"207","207",1,2.22491732199044e-05
"208","208",1,0.00512837501150256
"209","209",1,1.72070298805129e-05
"210","210",1,2.21213881433046e-05
"211","211",1,2.11390758515125e-05
"212","212",1,1.67445949099965e-05
"213","213",1,1.25674538678622e-05
"214","214",1,1.12493951254291e-05
"215","215",1,9.61107951955739e-06
"216","216",1,1.32059615543996e-05
"217","217",1,1.20355176716028e-05
"218","218",1,1.10527712050595e-05
"219","219",1,1.07199789047697e-05
"220","220",1,8.94737217252381e-06
"221","221",1,1.82995377278885e-05
"222","222",1,2.03569951058116e-05
"223","223",1,1.49380410297502e-05
"224","224",1,1.51897527340663e-05
"225","225",1,1.58015907638415e-05
"226","226",1,1.51246829388969e-05
"227","227",1,1.48282507076807e-05
"228","228",1,1.38809151661895e-05
"229","229",1,1.41026953087594e-05
"230","230",1,1.1403817709525e-05
"231","231",1,1.20082282141373e-05
"232","232",1,1.13154928523954e-05
"233","233",1,1.1565695232305e-05
"234","234",1,1.12404415817027e-05
"235","235",1,1.1913681994067e-05
"236","236",1,1.36660024883132e-05
"237","1",2,8.46931040610349e-05
"238","2",2,6.81976575056614e-05
"239","3",2,3.96239560174068e-05
"240","4",2,4.41677308846562e-05
"241","5",2,4.73781183601172e-05
"242","6",2,3.19216028604721e-05
"243","7",2,4.50123689842906e-05
"244","8",2,3.13546344333962e-05
"245","9",2,4.33542075007812e-05
"246","10",2,4.12038982005383e-05
"247","11",2,6.08514551353897e-05
"248","12",2,6.69053298974182e-05
"249","13",2,2.84683097142498e-05
"250","14",2,4.15269855153517e-05
"251","15",2,4.0456348987361e-05
"252","16",2,4.53011398888592e-05
"253","17",2,3.22128463609235e-05
"254","18",2,3.21639372748346e-05
"255","19",2,3.87186829230786e-05
"256","20",2,3.51528179167065e-05
"257","21",2,5.22254076288454e-05
"258","22",2,3.71241406308689e-05
"259","23",2,3.9623956018269e-05
"260","24",2,2.86802917822112e-05
"261","25",2,2.85450305612508e-05
"262","26",2,4.1772645738144e-05
"263","27",2,2.846830970771e-05
"264","28",2,2.73474046437955e-05
"265","29",2,2.12877739682907e-05
"266","30",2,2.13413886989804e-05
"267","31",2,2.06245563729708e-05
"268","32",2,2.71720169178427e-05
"269","33",2,1.671816567704e-05
"270","34",2,2.00108619734056e-05
"271","35",2,1.49697089408173e-05
"272","36",2,1.13823719066178e-05
"273","37",2,1.04194375388363e-05
"274","38",2,1.24310216151615e-05
"275","39",2,1.36352158173237e-05
"276","40",2,1.27951764098565e-05
"277","41",2,8.75689451507759e-06
"278","42",2,6.117909965825e-06
"279","43",2,1.30313039256475e-05
"280","44",2,1.1890277609594e-05
"281","45",2,1.17811698716856e-05
"282","46",2,6.9647067667718e-06
"283","47",2,8.688653202957e-06
"284","48",2,7.53712253081074e-06
"285","49",2,7.96803765246222e-06
"286","50",2,7.86012683266763e-06
"287","51",2,6.82117980128512e-06
"288","52",2,9.93796749305484e-06
"289","53",2,1.11752152211049e-05
"290","54",2,1.08295830193041e-05
"291","55",2,1.14904151821758e-05
"292","56",2,9.80004406337824e-06
"293","57",2,5.68145868993346e-06
"294","58",2,5.05148415337885e-06
"295","59",2,5.64587506720114e-06
"296","60",2,4.31260030714206e-06
"297","61",2,1.20904703866976e-05
"298","62",2,1.10068287117965e-05
"299","63",2,6.9384732929457e-06
"300","64",2,9.21394943029442e-06
"301","65",2,9.29684406575519e-06
"302","66",2,8.6039590871931e-06
"303","67",2,7.70293156302134e-06
"304","68",2,8.5987204943768e-06
"305","69",2,6.6666226642447e-06
